artist,url,life,artworks
Forrest Bess,/en/forrest-bess,1911 - 1977,41
Joseph Beuys,/en/joseph-beuys,1921 - 1986,22
Charles Bezie,/en/charles-bezie,born 1934,17
Jyoti Bhatt,/en/jyoti-bhatt,born 1934,23
Alberto Biasi,/en/alberto-biasi,born 1937,18
Ashley Bickerton,/en/ashley-bickerton,born 1959,15
Jean-Joseph-Xavier Bidauld,/en/jean-joseph-xavier-bidauld,1758 - 1846,44
Boleslas Biegas,/en/boleslas-biegas,1877 - 1954,17
Albert Bierstadt,/en/albert-bierstadt,1830 - 1902,336
Ivan Bilibin,/en/ivan-bilibin,1876 - 1942,246
Max Bill,/en/max-bill,1908 - 1994,75
Kateryna Bilokur,/en/kateryna-bilokur,1900 - 1961,54
George Caleb Bingham,/en/george-caleb-bingham,1811 - 1879,49
Elmer Bischoff,/en/elmer-bischoff,1916 - 1991,30
Cesare Biseo,/en/cesare-biseo,1843 - 1909,27
James Bishop,/en/james-bishop,born 1927,10
Julius Bissier,/en/julius-bissier,1893 - 1965,28
Roger Bissière,/en/roger-bissi-re,1886 - 1964,41
Albert Bitran,/en/albert-bitran,born 1931,16
Ion Bitzan,/en/ion-bitzan,1924 - 1997,33
Eugene de Blaas,/en/eugene-de-blaas,1843 - 1932,82
Dorrit Black,/en/dorrit-black,1891 - 1951,60
Charles Blackman,/en/charles-blackman,born 1928,206
Ronald Bladen,/en/ronald-bladen,1918 - 1988,15
Mary Blair,/en/mary-blair,1911 - 1978,10
Peter Blake,/en/peter-blake,born 1932,34
William Blake,/en/william-blake,1757 - 1827,111
Antoine Blanchard,/en/antoine-blanchard,1910 - 1988,178
Michel Blazy,/en/michel-blazy,born 1966,15
Constantin Blendea,/en/constantin-blendea,1929 - 2012,30
Albert Bloch,/en/albert-bloch,1882 - 1961,68
Carl Bloch,/en/carl-bloch,1834 - 1890,22
Godfrey Blow,/en/godfrey-blow,born 1948,15
Norman Bluhm,/en/norman-bluhm,1921 - 1999,32
Rochelle Blumenfeld,/en/rochelle-blumenfeld,born 1936,23
Anna Katarina Boberg,/en/anna-katarina-boberg,1864 - 1935,8
Umberto Boccioni,/en/umberto-boccioni,1882 - 1916,98
Mel Bochner,/en/mel-bochner,born 1940,19
Arnold Böcklin,/en/arnold-bocklin,1827 - 1901,123
Karl Bodmer,/en/karl-bodmer,1809 - 1893,104
Thiago Boecan,/en/thiago-boecan,born 1995,26
Alighiero Boetti,/en/alighiero-boetti,1940 - 1994,52
Konstantin Bogaevsky,/en/konstantin-bogaevsky,1872 - 1943,133
Bram Bogart,/en/bram-bogart,1921 - 2012,25
Nikolay Bogdanov-Belsky,/en/nikolay-bogdanov-belsky,1868 - 1945,203
Alexander Boghossian,/en/alexander-boghossian,1937 - 2003,10
Alexey  Bogolyubov,/en/alexey-bogolyubov,1824 - 1896,44
Oleksandr Bogomazov,/en/oleksandr-bogomazov,1880 - 1930,43
Maurice Boitel,/en/maurice-boitel,1919 - 2007,18
Ferdinand Bol,/en/ferdinand-bol,1616 - 1680,79
Giovanni Boldini,/en/giovanni-boldini,1842 - 1931,239
Bill Bollinger,/en/bill-bollinger,1939 - 1988,12
Ilya Bolotowsky,/en/ilya-bolotowsky,1907 - 1981,0
Christian Boltanski,/en/christian-boltanski,born 1944,11
Giovanni Antonio Boltraffio,/en/giovanni-antonio-boltraffio,c.1466 - 1516,16
Michael Bolus,/en/michael-bolus,1934 - 2013,16
David Bomberg,/en/david-bomberg,1890 - 1957,17
Camille Bombois,/en/camille-bombois,1883 - 1970,29
Vladimir Bonacic,/en/vladimir-bonacic,1938 - 1999,12
Agostino Bonalumi,/en/agostino-bonalumi,born 1935,29
Victor Bonato,/en/victor-bonato,born 1934,18
Dora Boneva,/en/dora-boneva,born 1936,7
Rosa Bonheur,/en/rosa-bonheur,1822 - 1899,53
Richard Parkes Bonington,/en/richard-parkes-bonington,1802 - 1828,42
Pierre Bonnard,/en/pierre-bonnard,1867 - 1947,235
Leon Bonnat,/en/leon-bonnat,1833 - 1922,32
Lee Bontecou,/en/lee-bontecou,born 1931,42
Gregoire Boonzaier,/en/gregoire-boonzaier,1909 - 2005,90
Columbano Bordalo Pinheiro,/en/columbano-bordalo-pinheiro,1857 - 1929,29
Paul-Émile Borduas,/en/paul-emile-borduas,1905 - 1960,12
Boris Bućan,/en/boris-bucan,born 1947,20
Victor Borisov-Musatov,/en/victor-borisov-musatov,1870 - 1905,66
Aleksandr Borodin,/en/aleksandr-borodin,1959 - 2014,15
Vladimir Borovikovsky,/en/vladimir-borovikovsky,1757 - 1825,108
Sandor Bortnyik,/en/sandor-bortnyik,1893 - 1976,24
Hieronymus Bosch,/en/hieronymus-bosch,c.1450 - 1516,184
Nandalal Bose,/en/nandalal-bose,1882 - 1966,17
Derek Boshier,/en/derek-boshier,born 1937,22
Carlos Botelho,/en/carlos-botelho,1899 - 1982,19
Fernando Botero,/en/fernando-botero,born 1932,177
Jan Dirksz Both,/en/jan-dirksz-both,c.1618 - 1652,30
Martha Boto,/en/martha-boto,1925 - 2004,39
Chronis Botsoglou,/en/chronis-botsoglou,born 1941,49
Francis Bott,/en/francis-bott,1904 - 1998,30
Sandro Botticelli,/en/sandro-botticelli,c.1445 - 1510,134
Francesco Botticini,/en/francesco-botticini,1446 - 1498,3
Pauline Boty,/en/pauline-boty,1938 - 1966,14
Francois Boucher,/en/francois-boucher,1703 - 1770,72
Eugene Boudin,/en/eugene-boudin,1824 - 1898,560
Alice Boughton,/en/alice-boughton,1866 - 1943,16
